Answer.score_quiz3,Answer.score_quiz2,order0,simPreference0,simulatedAnswer,targetUttCode,numFeatures,name,obj1,certainty,targetFeature,guessRank0,guessRank2,pref2,pref0,normResponse1,normResponse0,simPreference2,Answer.time_in_minutes,simRank0,obj2,trial_type,sex,workerid,Answer.score_quiz1,guessRank1,uttCode,utterance,trialNum,blockNr,featuresPresent,order1,evalNum,simRank2,slide_number,obj3,response1,order2,response0,targetFeatureNum,simRank1,item,normResponse2,pref1,response2,simPreference1
2,0,332,0.5,332,22a2b-2a,4,task,111,,color,,,green,blue,0.7391304347826085,0.21739130434782605,1,7.931166666666667,,312,task,female,0,1,,22a2b,polka-dotted,0,0,"['cloud', 'square', 'solid', 'polka-dotted']",111,,,3,332,0.85,312,0.25,3,,7352,0.043478260869565216,red,0.05,0
2,0,122,0.5,213,22a2b-2b,4,task,212,,color,,,green,blue,0,0.05,1,7.931166666666667,,122,task,female,0,1,,22a2b,solid,1,0,"['cloud', 'circle', 'solid', 'striped']",213,,,4,213,0,212,0.05,3,,10452,0.95,red,0.95,0
2,0,133,0.5,133,22a1-3,4,task,211,,color,,,green,blue,0,0.05555555555555556,1,7.931166666666667,,132,task,female,0,1,,22a1,cloud,2,0,"['cloud', 'circle', 'solid', 'polka-dotted']",211,,,5,133,0,132,0.05,3,,21302,0.9444444444444444,red,0.85,0
2,0,122,0.5,123,331-3,2,task,121,,color,,,green,blue,0.16,0.16,1,7.931166666666667,,122,task,female,0,1,,331,cloud,3,0,"['cloud', 'striped']",123,,,6,123,0.2,121,0.2,3,,13990,0.6799999999999999,red,0.85,0
2,0,,,,,,,,0.35,,,,,,,,,7.931166666666667,,,,,0,1,,,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,green,blue,,,,,,7.931166666666667,green,,,,0,1,red,,,,,,,2,red,,,,,,,blue,,,,,
2,0,322,1,121,22b1-3,4,task,121,,color,,,green,blue,0.05,0.95,0,7.931166666666667,,322,task,female,0,1,,22b1,cloud,0,1,"['cloud', 'square', 'solid', 'striped']",113,,,11,113,0.05,121,0.95,3,,9102,0,red,0,0.5
2,0,231,1,231,321-2,4,task,231,,color,,,green,blue,0.05,0.95,0,7.931166666666667,,132,task,female,0,1,,321,polka-dotted,1,1,"['cloud', 'circle', 'square', 'polka-dotted']",332,,,12,332,0.05,132,0.95,3,,7921,0,red,0,0.5
2,0,122,1,221,311-3,4,task,221,,color,,,green,blue,0.05,0.95,0,7.931166666666667,,122,task,female,0,1,,311,circle,2,1,"['cloud', 'circle', 'square', 'striped']",323,,,13,323,0.05,221,0.95,3,,18411,0,red,0,0.5
2,0,212,1,111,311-3,4,task,111,,color,,,green,blue,0.05,0.95,0,7.931166666666667,,212,task,female,0,1,,311,cloud,3,1,"['cloud', 'circle', 'square', 'solid']",111,,,14,313,0.05,313,0.95,3,,11851,0,red,0,0.5
2,0,,,,,,,,0.85,,,,,,,,,7.931166666666667,,,,,0,1,,,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,blue,green,,,,,,7.931166666666667,blue,,,,0,1,red,,,,,,,3,green,,,,,,,red,,,,,
3,2,333,1,332,321-3,3,task,131,,color,,,green,blue,0.5333333333333333,0.2333333333333333,0,14.434233333333333,,332,task,male,1,3,,321,square,0,0,"['cloud', 'square', 'polka-dotted']",332,,,3,333,0.8,131,0.35,3,,27421,0.2333333333333333,red,0.35,0.5
3,2,313,1,332,311-3,4,task,321,,color,,,green,blue,0.6,0.19999999999999998,0,14.434233333333333,,332,task,male,1,3,,311,polka-dotted,1,0,"['square', 'solid', 'striped', 'polka-dotted']",332,,,4,313,0.9,321,0.3,3,,12811,0.19999999999999998,red,0.3,0.5
3,2,131,1,131,311-3,4,task,131,,color,,,green,blue,0.41935483870967744,0.4516129032258064,0,14.434233333333333,,332,task,male,1,3,,311,cloud,2,0,"['cloud', 'circle', 'square', 'polka-dotted']",332,,,5,233,0.65,233,0.7,3,,24421,0.12903225806451613,red,0.2,0.5
3,2,122,1,122,22a1-3,4,task,211,,color,,,green,blue,0.5428571428571428,0.39999999999999997,0,14.434233333333333,,122,task,male,1,3,,22a1,striped,3,0,"['cloud', 'circle', 'solid', 'striped']",211,,,6,123,0.95,123,0.7,3,,13972,0.05714285714285715,red,0.1,0.5
3,2,,,,,,,,0.6,,,,,,,,,14.434233333333333,,,,,1,3,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,,,,red,green,,,,,,14.434233333333333,blue,,,,1,3,blue,,,,,,,2,green,,,,,,,red,,,,,
3,2,332,0,222,22b1-2,5,task,121,,texture,,,polka-dotted,solid,0.6,0.32,1,14.434233333333333,,222,task,male,1,3,,22b1,circle,0,1,"['cloud', 'circle', 'square', 'blue', 'red']",222,,,11,332,0.75,121,0.4,2,,7611,0.08,striped,0.1,0.5
3,2,331,0,331,322b-2,3,task,311,,texture,,,polka-dotted,solid,0.48387096774193555,0.12903225806451615,1,14.434233333333333,,331,task,male,1,3,,322b,blue,1,1,"['square', 'blue', 'green']",333,,,12,333,0.75,311,0.2,2,,26300,0.38709677419354843,striped,0.6,0.5
3,2,311,0,222,211-3,5,task,311,,texture,,,polka-dotted,solid,0.6,0.09999999999999999,1,14.434233333333333,,222,task,male,1,3,,211,red,2,1,"['circle', 'square', 'blue', 'red', 'green']",233,,,13,233,0.9,222,0.15,2,,23801,0.3,striped,0.45,0.5
3,2,132,0,132,22b2b-2,4,task,121,,texture,,,polka-dotted,solid,0.5,0.08333333333333333,1,14.434233333333333,,331,task,male,1,3,,22b2b,cloud,3,1,"['cloud', 'square', 'blue', 'red']",121,,,14,132,0.9,331,0.15,2,,4861,0.41666666666666663,striped,0.75,0.5
3,2,,,,,,,,0.4,,,,,,,,,14.434233333333333,,,,,1,3,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,,,,striped,solid,,,,,,14.434233333333333,polka-dotted,,,,1,3,polka-dotted,,,,,,,2,solid,,,,,,,striped,,,,,
2,1,233,0.5,233,322b-2,3,task,223,,texture,,,polka-dotted,solid,0.32653061224489793,0.32653061224489793,1,8.691333333333333,,233,task,male,2,0,,322b,green,0,0,"['circle', 'square', 'green']",333,,,3,333,0.8,223,0.8,2,,29221,0.346938775510204,striped,0.85,0
2,1,313,0.5,121,22a1-3,4,task,121,,texture,,,polka-dotted,solid,1,0,1,8.691333333333333,,313,task,male,2,0,,22a1,cloud,1,0,"['cloud', 'square', 'blue', 'green']",333,,,4,333,0.9,121,0,2,,27931,0,striped,0,0
2,1,233,0.5,221,22a2b-2a,4,task,121,,texture,,,polka-dotted,solid,1,0,1,8.691333333333333,,221,task,male,2,0,,22a2b,blue,2,0,"['cloud', 'circle', 'blue', 'green']",221,,,5,233,1,121,0,2,,23091,0,striped,0,0
2,1,131,0.5,131,321-2,4,task,131,,texture,,,polka-dotted,solid,0,0,1,8.691333333333333,,112,task,male,2,0,,321,blue,3,0,"['cloud', 'blue', 'red', 'green']",133,,,6,133,0,112,0,2,,20660,1,striped,0.95,0
2,1,,,,,,,,0.6,,,,,,,,,8.691333333333333,,,,,2,0,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,polka-dotted,solid,,,,,,8.691333333333333,polka-dotted,,,,2,0,striped,,,,,,,2,striped,,,,,,,solid,,,,,
2,1,211,0.5,211,321-3,3,task,211,,texture,,,polka-dotted,solid,0,1,0,8.691333333333333,,121,task,male,2,0,,321,circle,0,1,"['cloud', 'circle', 'blue']",231,,,11,231,0,121,1,2,,391,0,striped,0,1
2,1,333,0.5,333,22b1-2,5,task,221,,texture,,,polka-dotted,solid,0,0,0,8.691333333333333,,123,task,male,2,0,,22b1,square,1,1,"['cloud', 'circle', 'square', 'blue', 'green']",221,,,12,333,0,123,0,2,,28141,1,striped,1,1
2,1,213,0.5,223,22a2b-2b,4,task,321,,texture,,,polka-dotted,solid,1,0,0,8.691333333333333,,213,task,male,2,0,,22a2b,circle,2,1,"['circle', 'square', 'blue', 'green']",321,,,13,223,1,223,0,2,,17161,0,striped,0,1
2,1,221,0.5,221,22a2b-2b,4,task,221,,texture,,,polka-dotted,solid,1,0,0,8.691333333333333,,323,task,male,2,0,,22a2b,blue,3,1,"['circle', 'square', 'blue', 'green']",333,,,14,333,0.8,323,0,2,,28571,0,striped,0,1
2,1,,,,,,,,0.6,,,,,,,,,8.691333333333333,,,,,2,0,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,striped,solid,,,,,,8.691333333333333,striped,,,,2,0,polka-dotted,,,,,,,2,polka-dotted,,,,,,,solid,,,,,
4,2,122,0,212,321-3,3,task,212,,shape,,,square,cloud,0.6666666666666666,0,0.5,26.24576666666667,,312,task,male,3,3,,321,solid,0,0,"['solid', 'striped', 'red']",312,,,3,122,1,212,0,1,,2850,0.3333333333333333,circle,0.5,1
4,2,212,0,232,321-2,4,task,212,,shape,,,square,cloud,0.7142857142857143,0,0.5,26.24576666666667,,122,task,male,3,3,,321,polka-dotted,1,0,"['solid', 'striped', 'polka-dotted', 'red']",232,,,4,232,1,122,0,1,,6360,0.28571428571428575,circle,0.4,1
4,2,113,0,212,322b-2,3,task,112,,shape,,,square,cloud,0.6666666666666666,0.06666666666666667,0.5,26.24576666666667,,212,task,male,3,3,,322b,red,2,0,"['solid', 'red', 'green']",212,,,5,113,1,112,0.1,1,,8700,0.26666666666666666,circle,0.4,1
4,2,312,0,131,22a1-3,4,task,131,,shape,,,square,cloud,0.5862068965517241,0.20689655172413793,0.5,26.24576666666667,,212,task,male,3,3,,22a1,blue,3,0,"['solid', 'polka-dotted', 'blue', 'red']",212,,,6,312,0.85,131,0.3,1,,2160,0.20689655172413793,circle,0.3,1
4,2,,,,,,,,0.4,,,,,,,,,26.24576666666667,,,,,3,3,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,,,,circle,cloud,,,,,,26.24576666666667,circle,,,,3,3,square,,,,,,,3,cloud,,,,,,,square,,,,,
4,2,321,0.5,312,311-3,4,task,321,,color,,,green,blue,0.42857142857142855,0.2857142857142857,0,26.24576666666667,,312,task,male,3,3,,311,square,0,1,"['square', 'solid', 'striped', 'polka-dotted']",333,,,11,333,0.75,312,0.5,3,,26601,0.2857142857142857,red,0.5,1
4,2,321,0.5,322,331-3,2,task,321,,color,,,green,blue,0.42857142857142855,0.2857142857142857,0,26.24576666666667,,322,task,male,3,3,,331,striped,1,1,"['square', 'striped']",322,,,12,323,0.75,323,0.5,3,,18670,0.2857142857142857,red,0.5,1
4,2,132,0.5,221,211-3,5,task,221,,color,,,green,blue,0.41666666666666663,0.3333333333333333,0,26.24576666666667,,132,task,male,3,3,,211,striped,2,1,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",323,,,13,323,0.75,221,0.6,3,,18802,0.25,red,0.45,1
4,2,232,0.5,121,22b1-3,4,task,121,,color,,,green,blue,0.4411764705882352,0.3529411764705882,0,26.24576666666667,,232,task,male,3,3,,22b1,striped,3,1,"['cloud', 'circle', 'striped', 'polka-dotted']",223,,,14,223,0.75,121,0.6,3,,16632,0.20588235294117643,red,0.35,1
4,2,,,,,,,,0.7,,,,,,,,,26.24576666666667,,,,,3,3,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,,,,red,green,,,,,,26.24576666666667,red,,,,3,3,blue,,,,,,,3,green,,,,,,,blue,,,,,
